Adygea; Krasnodar, Krasnodar, Dagestan
Bashkortostan; Perm, Sverdlovsk, Chelyabinsk, Orenburg, Tatarstan, Udmurtia, Chelyabinsk, Perm, Orenburg, Sverdlovsk
Chelyabinsk; Orenburg, Sverdlovsk, Kurgan, Bashkortostan, Orenburg, Sverdlovsk, Kurgan
Kemerovo; Khakassia, Altai-Republic, Altai-Krai, Novosibirsk, Tomsk, Krasnoyarsk, Khakassia, Tomsk, Novosibirsk, Altai-Krai, Altai-Republic, Krasnoyarsk
Khakassia; Krasnoyarsk, Tuva, Altai-Republic, Kemerovo, Altai-Republic, Krasnoyarsk, Tuva
Jewish-Autonomous-Oblast; Amur, Khabarovsk, Amur, Khabarovsk
Vologda; Karelia, Arkhangelsk, Kirov, yaroslavl, Kostroma, Leningrad-Oblast, Novgorod, Karelia, Arkhangelsk, Kirov
Karelia; Murmansk, Arkhangelsk, Leningrad-Oblast, Vologda, Arkhangelsk, Murmansk
Arkhangelsk; Kirov, Komi, Nenets, Vologda, Karelia, Komi, Nenets, Kirov
Komi; Nenets, Khanty-Mansi, Perm, Kirov, Yamalo-Nenets, Arkhangelsk, Nenets, Perm, Khanty-Mansi, Yamalo-Nenets, Kirov
Nenets; Yamalo-Nenets, Arkhangelsk, Komi, Yamalo-Nenets
Perm; Sverdlovsk, Kirov, Udmurtia, Bashkortostan, Komi, Sverdlovsk, Kirov
Orenburg; Samara, Tatarstan, Bashkortostan, Chelyabinsk
Sverdlovsk; Kurgan, Tyumen, Khanty-Mansi, Bashkortostan, Chelyabinsk, Perm, Kurgan, Khanty-Mansi, Tyumen
Kurgan; Tyumen, Chelyabinsk, Sverdlovsk, Tyumen
Khanty-Mansi; Yamalo-Nenets, Tomsk, Tyumen, Komi, Sverdlovsk, Yamalo-Nenets, Yamalo-Nenets, Tyumen, Tomsk
Yamalo-Nenets; Krasnoyarsk, Khanty-Mansi, Komi, Nenets, Khanty-Mansi, Krasnoyarsk
Tyumen; Omsk, Tomsk, Sverdlovsk, Kurgan, Khanty-Mansi, Omsk, Tomsk
Omsk; Tomsk, Novosibirsk, Tyumen, Tomsk, Novosibirsk
Tomsk; Krasnoyarsk, Novosibirsk, Altai-Krai, Kemerovo, Khanty-Mansi, Tyumen, Omsk, Novosibirsk, Altai-Krai, Krasnoyarsk
Novosibirsk; Altai-Krai, Kemerovo, Omsk, Tomsk, Altai-Krai
Altai-Krai; Altai-Republic, Kemerovo, Tomsk, Novosibirsk, Altai-Republic
Altai-Republic; Tuva, Kemerovo, Khakassia, Altai-Krai, Tuva
Krasnoyarsk; Tuva, Irkutsk, Sakha-(Yakutia), Kemerovo, Khakassia, Yamalo-Nenets, Tomsk, Irkutsk, Tuva, Sakha-(Yakutia)
Irkutsk; Tuva, Buryatia, Sakha-(Yakutia), Zabaykalsky, Krasnoyarsk, Tuva, Buryatia, Zabaykalsky, Sakha-(Yakutia)
Tuva; Buryatia, Khakassia, Altai-Republic, Krasnoyarsk, Irkutsk, Buryatia
Buryatia; Zabaykalsky, Irkutsk, Tuva, Zabaykalsky
Zabaykalsky; Sakha-(Yakutia), Amur, Irkutsk, Buryatia, Sakha-(Yakutia), Amur
Sakha-(Yakutia); Amur, Khabarovsk, Magadan, Chukotka, Krasnoyarsk, Irkutsk, Zabaykalsky, Amur, Khabarovsk, Magadan, Chukotka
Amur; Khabarovsk, Jewish-Autonomous-Oblast, Zabaykalsky, Sakha-(Yakutia), Khabarovsk
Khabarovsk; Primorsky, Magadan, Jewish-Autonomous-Oblast, Sakha-(Yakutia), Amur, Primorsky, Magadan
Primorsky; Khabarovsk
Magadan; Chukotka, Kamchatka, Sakha-(Yakutia), Khabarovsk, Chukotka, Kamchatka
Chukotka; Kamchatka, Sakha-(Yakutia), Magadan, Kamchatka
Kamchatka; Magadan, Chukotka
Sakhalin; 
Saratov; Volgograd, Penza, Ulyanovsk, Samara, Voronezh, Tambov
Rostov; Krasnodar, Kalmykia, Volgograd
Murmansk; Karelia
Kirov; Tatarstan, Kostroma, Nizhny-Novgorod, Mari-El, Udmurtia, Vologda, Arkhangelsk, Komi, Perm
Tver; Smolensk, Moskow-Oblast, yaroslavl, Pskkov, Novgorod
